Rk,Player,Nation,Pos,Goals,Shots,SoT,G/Sh,G/SoT,
1287,Saîf-Eddine Khaoui,TUN,MFFW,2,1.71,0.63,0.07,0.2,
1288,Wahbi Khazri,TUN,FWMF,2,1.98,1.04,0.11,0.2,
1289,Rani Khedira,GER,MF,0,0.81,0,0,0,
1290,Anthony Khelifa,FRA,DF,0,0,0,0,0,
1291,Kike,ESP,FW,2,3.77,1.15,0.04,0.14,
1292,Luca Kilian,GER,DF,1,0.33,0.08,0.25,1,
1293,Max Kilman,ENG,DF,0,0.36,0,0,0,
1294,Joshua Kimmich,GER,MF,3,1.18,0.51,0.14,0.33,
1295,Presnel Kimpembe,FRA,DF,0,0.43,0,0,0,
1296,Jakub Kiwior,POL,DF,0,0.63,0.13,0,0,
1297,Simon Kjær,DEN,DF,0,0,0,0,0,
1298,Mateusz Klich,POL,MFFW,0,1.29,0.32,0,0,
1299,Lukas Klostermann,GER,DF,0,1.25,0.31,0,0,
1300,Justin Kluivert,NED,FWMF,3,2.31,1.03,0.17,0.38,
1301,Ansgar Knauff,GER,DF,1,1.16,0.53,0.09,0.2,
1302,Robin Knoche,GER,DF,2,0.26,0.05,0.2,1,
1303,Gregor Kobel,SUI,GK,0,0,0,0,0,
1304,Robin Koch,GER,DF,0,0.31,0.05,0,0,
1305,Dominik Kohr,GER,MF,2,1.4,0.19,0.09,0.67,
1306,Koke,ESP,MF,0,0.48,0,0,0,
1307,Sead Kolašinac,BIH,DF,3,0.84,0.42,0.3,0.6,
1308,Luca Koleosho,CAN,FWDF,0,0,0,0,0,
1309,Randal Kolo Muani,FRA,FW,9,2.31,1.06,0.22,0.47,
1310,Timothée Kolodziejczak,FRA,DF,0,0,0,0,0,
1311,Ibrahima Konaté,FRA,DF,0,0.71,0.24,0,0,
1312,Geoffrey Kondogbia,CTA,MF,0,1.03,0,0,0,
1313,Ibrahima Koné,MLI,FW,3,1.25,0.69,0.22,0.4,
1314,Kouadio Koné,FRA,MF,1,0.98,0.52,0.06,0.11,
1315,Youssouf Koné,MLI,DF,0,0.17,0.17,0,0,
1316,Ezri Konsa,ENG,DF,0,0.2,0,0,0,
1317,Teun Koopmeiners,NED,MF,6,1.81,0.74,0.11,0.27,
1318,Odilon Kossonou,CIV,DF,0,0.14,0,0,0,
1319,Filip Kosti?,SRB,DFFW,2,1.33,0.42,0.09,0.29,
1320,Filip Kosti?,SRB,DFMF,0,1.25,0,0,0,
1321,Christian Kouamé,CIV,FW,2,2.2,0.73,0.06,0.18,
1322,Rominigue Kouamé,MLI,MF,0,0.9,0.16,0,0,
1323,Tomáš Koubek,CZE,GK,0,0,0,0,0,
1324,Kalidou Koulibaly,SEN,DF,2,0.73,0.32,0.22,0.5,
1325,Jules Koundé,FRA,DF,0,0.52,0,0,0,
1326,Boubakar Kouyaté,MLI,DF,0,0,0,0,0,
1327,Cheikhou Kouyaté,SEN,MFDF,1,0.64,0.64,0.2,0.2,
1328,Mateo Kova?i?,CRO,MF,0,1.29,0,0,0,
1329,Viktor Kovalenko,UKR,MF,0,1.16,0,0,0,
1330,Soichiro Kozuki,JPN,FWMF,1,3.33,1.43,0.07,0.17,
1331,Emil Krafth,SWE,DF,0,0,0,0,0,
1332,Alex Král,CZE,MF,0,1.23,0.08,0,0,
1333,Andrej Kramari?,CRO,MFFW,5,2.17,0.86,0.15,0.38,
1334,Christoph Kramer,GER,MF,0,0.31,0,0,0,
1335,Tom Krauß,GER,MF,1,0.93,0.38,0.06,0.14,
1336,Julian Kristoffersen,NOR,FW,0,0,0,0,0,
1337,Raimonds Krollis,LVA,FW,0,5,5,0,0,
1338,Toni Kroos,GER,MF,2,1.26,0.44,0.12,0.33,
1339,Rade Kruni?,BIH,MFFW,0,0.75,0.13,0,0,
1340,Max Kruse,GER,MFFW,0,3,0.67,0,0,
